UUID,Name,Category,Conformity,Laenderkennung,Declaration owner,Registrierungsnummer,Bezugsgroesse,Bezugseinheit,Flaechengewicht (kg/m2),Rohdichte (kg/m3),Schichtdicke (m),Laengengewicht (kg/m),Stueckgewicht (kg),Umrechungsfaktor auf 1kg,biogener Kohlenstoffgehalt in kg,GWPtotal (A1),GWPtotal (A1-A3),GWPtotal (A2),GWPtotal (A3),GWPtotal (A4),GWPtotal (A5),GWPtotal (B1),GWPtotal (B2),GWPtotal (B3),GWPtotal (B4),GWPtotal (B5),GWPtotal (B6),GWPtotal (B7),GWPtotal (C1),GWPtotal (C2),GWPtotal (C3),GWPtotal (C4),GWPbiogenic,GWPfossil
412a1c46-5252-468e-bc8b-a8cb8528400e,connecting technology - Viega - Sanpress Inox LF press connector,'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VSI-67.0,1,kg,,,,,,,0.0,,542.0,,,0.108,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0927,0.000347,22.13665947,520.616844
8709271c-f1c7-46a2-8bc3-573edbf216c4,connecting technology - Viega - Sanpress Inox pipe,'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VSI-67.0,1,m,,,,4.653,,,0.0,,49.5,,,0.324,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487,0.434,-0.041,0.4318917,50.005
59257d13-efba-4d9f-acbf-4f0018aa0b47,connecting technology - Viega - Sanpress Inox press connector,'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VSI-67.0,1,kg,,,,,,,0.0,,15.5,,,0.0644,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0928,0.000347,0.21372989,15.449045
89750d03-54da-44b4-a742-3e063320789e,connecting technology - Viega - Sanpress pipe,'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VSP-67.0,1,m,,,,4.653,,,0.0,,49.5,,,0.324,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487,0.434,-0.041,0.4318917,50.005
a295c97b-b96c-42e8-93aa-d4cc32ddbde1,connecting technology - Viega - SeaPress,'Metalle' / 'Kupfer' / 'Schmiede- und Gussteile aus Kupfer und Messing','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VSE-67.0,1,kg,,,,,,,0.0,,7.8,,,0.063,0.00468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0276,0.000468,0.0921923,7.776625
f04ffd1e-258e-4f96-a114-0ca023f766f4,connecting technology - Viega - Temponox pipe,'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VTN-67.0,1,m,,,,3.75,,,0.0,,19.8,,,0.235,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392,0.35,0.00132,0.33210784,20.08621
5db94418-aad0-48f6-9759-59051a981f9c,connecting technology - Viega - Temponox press connector,'Metalle' / 'Edelstahl' / 'Edelstahl Trinkwasserrohre','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VTN-67.0,1,kg,,,,,,,0.0,,8.66,,,0.0727,0.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0928,0.000347,0.09273544,8.836644999999999
2c74989f-6441-4a41-9278-fa3206d467f6,connecting technology - Viega - Viega Smartpress pipe,'Kunststoffe' / 'Rohre' / 'Trinkwasserrohre','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VSM-67.0,1,m,,,,0.42,,,0.0,,2.44,,,0.0259,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00361,0.0194,5.82e-05,0.181549462,2.4804778
34a977a9-abad-4f56-8d07-3188ecac7e22,connecting technology - Viega - Viega Smartpress press connector,'Metalle' / 'Kupfer' / 'Schmiede- und Gussteile aus Kupfer und Messing','EN 15804+A2',DE,Viega GmbH & Co. KG,EPD-VSM-67.0,1,kg,,,,,,,0.0,,19.3,,,0.0632,0.00627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0291,0.000524,0.21789263,19.209570000000003
7b43a15d-2662-4a0e-a168-ed43d65e80c3,continuous cast steel bloom,'Metalle' / 'Stahl und Eisen' / 'Stahlprofile','DIN EN 15804+A2' / 'ISO 14025',AT,voestalpine AG,EPD-VOE-20240109-IBC1-DE,1000,kg,,7850.0,,,,,,,2514.58529926464,,,,,,,,,,,,0.0,3.94558331236989,0.0,2.34321253302137,4.151832147241853,2516.212916356088
55b8a86c-fde6-4245-9280-fbbfe19a1586,designed acoustic ceiling 24 mm,'Kunststoffe' / 'Folien und Vliese' / 'Vliese','DIN EN 15804+A2' / 'ISO 14025',DE,Karl Späh GmbH & Co. KG,EPD-SPH-20210147-IBA1-DE,1,qm,4.742,130.0,0.024,,,,,,28.0,,,0.0303,0.14,0.0,0.0,,,,,,0.0199,0.0184,0.0,7.32,0.033998,35.4972
966bda9d-ab0d-4d09-8810-eef992a6d790,door - Hodapp GmbH und Co. KG - multifunctional door,'Komponenten von Fenstern und Vorhangfassaden' / 'Türen und Tore' / 'Stahl','EN 15804+A2',DE,Hodapp GmbH und Co. KG,EPD-HMZ-55.0,1,qm,70.01,,0.06,,,,,,108.28,,,1.52,4.63,,0.29,48.0,0.0,0.0,0.0,0.0,0.0,0.12,5.04,0.51,0.9206069999999998,167.09
